OCC_CODE1,OCC_CODE2,OCC_TITLE,TOT_EMP,A_MEAN,,
13,1010,"Agents and Business Managers of Artists, Performers, and Athletes",11770,88620,,
13,1011,"Agents and Business Managers of Artists, Performers, and Athletes",11770,88620,,
13,1020,Buyers and Purchasing Agents,399990,60920,,
13,1021,"Buyers and Purchasing Agents, Farm Products",10370,59770,,
13,1022,"Wholesale and Retail Buyers, Except Farm Products",108670,57420,,
13,1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",280950,62310,,
13,1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",275050,61480,,
13,1031,"Claims Adjusters, Examiners, and Investigators",263280,61530,,
13,1032,"Insurance Appraisers, Auto Damage",11770,60230,,
13,1040,Compliance Officers,227500,64960,,
13,1041,Compliance Officers,227500,64960,,
13,1050,Cost Estimators,195230,63080,,
13,1051,Cost Estimators,195230,63080,,
13,1070,Human Resources Workers,471340,59890,,
13,1071,Human Resources Specialists,394380,60660,,
13,1074,Farm Labor Contractors,1030,38590,,
13,1075,Labor Relations Specialists,75930,56210,,
13,1080,Logisticians,119560,75670,,
13,1081,Logisticians,119560,75670,,
13,1110,Management Analysts,540440,88070,,
13,1111,Management Analysts,540440,88070,,
13,1120,"Meeting, Convention, and Event Planners",70480,49830,,
13,1121,"Meeting, Convention, and Event Planners",70480,49830,,
13,1130,Fundraisers,48530,55220,,
13,1131,Fundraisers,48530,55220,,
13,1140,"Compensation, Benefits, and Job Analysis Specialists",85620,62200,,
13,1141,"Compensation, Benefits, and Job Analysis Specialists",85620,62200,,
13,1150,Training and Development Specialists,217930,59560,,
13,1151,Training and Development Specialists,217930,59560,,
13,1160,Market Research Analysts and Marketing Specialists,392740,67380,,
13,1161,Market Research Analysts and Marketing Specialists,392740,67380,,
13,1190,Miscellaneous Business Operations Specialists,931010,70520,,
13,1199,"Business Operations Specialists, All Other",931010,70520,,
13,2000,Financial Specialists,2432190,72180,,
13,2010,Accountants and Auditors,1129340,71040,,
13,2011,Accountants and Auditors,1129340,71040,,
13,2020,Appraisers and Assessors of Real Estate,59530,55180,,
13,2021,Appraisers and Assessors of Real Estate,59530,55180,,
13,2030,Budget Analysts,58280,72100,,
13,2031,Budget Analysts,58280,72100,,
13,2040,Credit Analysts,61240,69500,,
13,2041,Credit Analysts,61240,69500,,
13,2050,Financial Analysts and Advisors,507090,86240,,
13,2051,Financial Analysts,239810,89410,,
13,2052,Personal Financial Advisors,175470,90820,,
13,2053,Insurance Underwriters,91810,69200,,
13,2060,Financial Examiners,28060,84220,,
13,2061,Financial Examiners,28060,84220,,
13,2070,Credit Counselors and Loan Officers,314300,68010,,
13,2071,Credit Counselors,27640,43670,,
13,2072,Loan Officers,286670,70350,,
13,2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",126700,49120,,
13,2081,"Tax Examiners and Collectors, and Revenue Agents",65560,56050,,
13,2082,Tax Preparers,61140,41700,,
13,2090,Miscellaneous Financial Specialists,147630,67020,,
13,2099,"Financial Specialists, All Other",147630,67020,,
15,0,Computer and Mathematical Occupations,3578220,80180,,
15,1100,Computer Occupations,3456500,80020,,
15,1110,Computer and Information Research Scientists,24880,103670,,
15,1111,Computer and Information Research Scientists,24880,103670,,
15,1120,Computer and Information Analysts,554710,84520,,
15,1121,Computer Systems Analysts,482040,83800,,
15,1122,Information Security Analysts,72670,89290,,
15,1130,Software Developers and Programmers,1397780,90470,,
15,1131,Computer Programmers,316790,78260,,
15,1132,"Software Developers, Applications",586340,93280,,
15,1133,"Software Developers, Systems Software",391700,102550,,
15,1134,Web Developers,102940,66100,,
15,1140,Database and Systems Administrators and Network Architects,599800,80910,,
15,1141,Database Administrators,111590,79120,,
15,1142,Network and Computer Systems Administrators,350320,76320,,
15,1143,Computer Network Architects,137890,94000,,
15,1150,Computer Support Specialists,693610,53230,,
15,1151,Computer User Support Specialists,525630,50130,,
15,1152,Computer Network Support Specialists,167980,62960,,
15,1190,Miscellaneous Computer Occupations,185730,81860,,
15,1199,"Computer Occupations, All Other",185730,81860,,
15,2000,Mathematical Science Occupations,121720,84740,,
15,2010,Actuaries,21340,106680,,
15,2011,Actuaries,21340,106680,,
15,2020,Mathematicians,3250,101280,,
15,2021,Mathematicians,3250,101280,,
15,2030,Operations Research Analysts,69180,79830,,
15,2031,Operations Research Analysts,69180,79830,,
15,2040,Statisticians,25570,79570,,
15,2041,Statisticians,25570,79570,,
15,2090,Miscellaneous Mathematical Science Occupations,2370,63720,,
15,2091,Mathematical Technicians,1150,64220,,
15,2099,"Mathematical Science Occupations, All Other",1220,63250,,
17,0,Architecture and Engineering Occupations,2356530,79000,,
17,1000,"Architects, Surveyors, and Cartographers",150150,71040,,
17,1010,"Architects, Except Naval",98470,76990,,
17,1011,"Architects, Except Landscape and Naval",82720,78690,,
17,1012,Landscape Architects,15750,68030,,
17,1020,"Surveyors, Cartographers, and Photogrammetrists",51680,59720,,
17,1021,Cartographers and Photogrammetrists,11490,61640,,
17,1022,Surveyors,40190,59180,,
17,2000,Engineers,1530090,90960,,
17,2010,Aerospace Engineers,80420,104810,,
17,2011,Aerospace Engineers,80420,104810,,
17,2020,Agricultural Engineers,2470,77370,,
17,2021,Agricultural Engineers,2470,77370,,
17,2030,Biomedical Engineers,18810,91200,,
17,2031,Biomedical Engineers,18810,91200,,
17,2040,Chemical Engineers,32190,102270,,
17,2041,Chemical Engineers,32190,102270,,
17,2050,Civil Engineers,258100,84140,,
17,2051,Civil Engineers,258100,84140,,
17,2060,Computer Hardware Engineers,79580,103980,,
17,2061,Computer Hardware Engineers,79580,103980,,
17,2070,Electrical and Electronics Engineers,295520,93380,,
17,2071,Electrical Engineers,160560,91810,,
17,2072,"Electronics Engineers, Except Computer",134960,95250,,
17,2080,Environmental Engineers,50850,85140,,
17,2081,Environmental Engineers,50850,85140,,
17,2110,"Industrial Engineers, Including Health and Safety",243620,81870,,
17,2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",23490,79760,,
17,2112,Industrial Engineers,220130,82100,,
17,2120,Marine Engineers and Naval Architects,6880,96140,,
17,2121,Marine Engineers and Naval Architects,6880,96140,,
17,2130,Materials Engineers,22740,87490,,
17,2131,Materials Engineers,22740,87490,,
17,2140,Mechanical Engineers,252540,84770,,
17,2141,Mechanical Engineers,252540,84770,,
17,2150,"Mining and Geological Engineers, Including Mining Safety Engineers",7640,91250,,
17,2151,"Mining and Geological Engineers, Including Mining Safety Engineers",7640,91250,,
17,2160,Nuclear Engineers,19930,107140,,
17,2161,Nuclear Engineers,19930,107140,,
17,2170,Petroleum Engineers,36410,147470,,
17,2171,Petroleum Engineers,36410,147470,,
17,2190,Miscellaneous Engineers,122410,93330,,
17,2199,"Engineers, All Other",122410,93330,,
17,3000,"Drafters, Engineering Technicians, and Mapping Technicians",676280,53700,,
17,3010,Drafters,189570,52520,,
17,3011,Architectural and Civil Drafters,83410,50550,,
17,3012,Electrical and Electronics Drafters,28160,58490,,
17,3013,Mechanical Drafters,63220,53270,,
17,3019,"Drafters, All Other",14780,49050,,
17,3020,"Engineering Technicians, Except Drafters",439710,55390,,
17,3021,Aerospace Engineering and Operations Technicians,9750,61980,,
17,3022,Civil Engineering Technicians,70790,49220,,
17,3023,Electrical and Electronics Engineering Technicians,144460,58070,,
17,3024,Electro,Mechanical Technicians,16990,53480,
17,3025,Environmental Engineering Technicians,18590,49380,,
17,3026,Industrial Engineering Technicians,67400,53100,,
17,3027,Mechanical Engineering Technicians,46630,53830,,
17,3029,"Engineering Technicians, Except Drafters, All Other",65090,60830,,
17,3030,Surveying and Mapping Technicians,47000,42680,,
17,3031,Surveying and Mapping Technicians,47000,42680,,
19,0,"Life, Physical, and Social Science Occupations",1104100,68360,,
19,1000,Life Scientists,260030,77620,,
19,1010,Agricultural and Food Scientists,28220,64470,,
19,1011,Animal Scientists,2120,73400,,
19,1012,Food Scientists and Technologists,13680,64140,,
19,1013,Soil and Plant Scientists,12410,63290,,
19,1020,Biological Scientists,94680,76630,,
19,1021,Biochemists and Biophysicists,26410,89470,,
19,1022,Microbiologists,18550,73250,,
19,1023,Zoologists and Wildlife Biologists,18650,62500,,
19,1029,"Biological Scientists, All Other",31080,76220,,
19,1030,Conservation Scientists and Foresters,27920,61400,,
19,1031,Conservation Scientists,18460,63590,,
19,1032,Foresters,9470,57140,,
19,1040,Medical Scientists,100270,87040,,
19,1041,Epidemiologists,4850,71400,,
19,1042,"Medical Scientists, Except Epidemiologists",95420,87830,,
19,1090,Miscellaneous Life Scientists,8940,74740,,
19,1099,"Life Scientists, All Other",8940,74740,,
19,2000,Physical Scientists,274610,83360,,
19,2010,Astronomers and Physicists,19960,112900,,
19,2011,Astronomers,2150,102550,,
19,2012,Physicists,17820,114150,,
19,2020,Atmospheric and Space Scientists,10190,90010,,
19,2021,Atmospheric and Space Scientists,10190,90010,,
19,2030,Chemists and Materials Scientists,92920,77970,,
19,2031,Chemists,84950,76870,,
19,2032,Materials Scientists,7970,89740,,
19,2040,Environmental Scientists and Geoscientists,126300,80040,,
19,2041,"Environmental Scientists and Specialists, Including Health",84240,68970,,
19,2042,"Geoscientists, Except Hydrologists and Geographers",35180,106780,,
19,2043,Hydrologists,6880,78920,,
19,2090,Miscellaneous Physical Scientists,25230,93720,,
19,2099,"Physical Scientists, All Other",25230,93720,,
19,3000,Social Scientists and Related Workers,235390,73870,,
19,3010,Economists,15760,99480,,
19,3011,Economists,15760,99480,,
19,3020,Survey Researchers,17370,50890,,
19,3022,Survey Researchers,17370,50890,,
19,3030,Psychologists,114970,73740,,
19,3031,"Clinical, Counseling, and School Psychologists",103590,72220,,
19,3032,Industrial,Organizational Psychologists,1030,98800,
19,3039,"Psychologists, All Other",10350,86380,,
19,3040,Sociologists,2340,80820,,
19,3041,Sociologists,2340,80820,,
19,3050,Urban and Regional Planners,37620,67950,,
19,3051,Urban and Regional Planners,37620,67950,,
19,3090,Miscellaneous Social Scientists and Related Workers,47330,78440,,
19,3091,Anthropologists and Archeologists,6060,60230,,
19,3092,Geographers,1510,74020,,
19,3093,Historians,3340,58240,,
19,3094,Political Scientists,5750,104600,,
19,3099,"Social Scientists and Related Workers, All Other",30660,79560,,
19,4000,"Life, Physical, and Social Science Technicians",334060,44950,,
19,4010,Agricultural and Food Science Technicians,18280,36390,,
19,4011,Agricultural and Food Science Technicians,18280,36390,,
19,4020,Biological Technicians,72740,42600,,
19,4021,Biological Technicians,72740,42600,,
19,4030,Chemical Technicians,61300,46130,,
19,4031,Chemical Technicians,61300,46130,,
19,4040,Geological and Petroleum Technicians,15360,59880,,
19,4041,Geological and Petroleum Technicians,15360,59880,,
19,4050,Nuclear Technicians,8040,69720,,
19,4051,Nuclear Technicians,8040,69720,,
19,4060,Social Science Research Assistants,26370,40760,,
19,4061,Social Science Research Assistants,26370,40760,,
19,4090,"Miscellaneous Life, Physical, and Social Science Technicians",131970,44480,,
19,4091,"Environmental Science and Protection Technicians, Including Health",30890,44570,,
19,4092,Forensic Science Technicians,12440,55730,,
19,4093,Forest and Conservation Technicians,31720,37030,,
19,4099,"Life, Physical, and Social Science Technicians, All Other",56920,46130,,
21,0,Community and Social Service Occupations,1882080,44240,,
21,1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",1811660,44220,,
21,1010,Counselors,598250,47510,,
21,1011,Substance Abuse and Behavioral Disorder Counselors,80130,40920,,
21,1012,"Educational, Guidance, School, and Vocational Counselors",237480,56170,,
21,1013,Marriage and Family Therapists,34270,49270,,
21,1014,Mental Health Counselors,115080,43290,,
21,1015,Rehabilitation Counselors,104070,37330,,
21,1019,"Counselors, All Other",27220,46060,,
21,1020,Social Workers,582270,47370,,
21,1021,"Child, Family, and School Social Workers",273920,45300,,
21,1022,Healthcare Social Workers,140000,51460,,
21,1023,Mental Health and Substance Abuse Social Workers,109920,43340,,
21,1029,"Social Workers, All Other",58430,54870,,
21,1090,Miscellaneous Community and Social Service Specialists,631150,38200,,
21,1091,Health Educators,55270,53100,,
21,1092,Probation Officers and Correctional Treatment Specialists,86780,52380,,
21,1093,Social and Human Service Assistants,351400,30880,,
21,1094,Community Health Workers,38020,37490,,
21,1099,"Community and Social Service Specialists, All Other",99680,43660,,
21,2000,Religious Workers,70410,44540,,
21,2010,Clergy,44000,47880,,
21,2011,Clergy,44000,47880,,
21,2020,"Directors, Religious Activities and Education",18310,42640,,
21,2021,"Directors, Religious Activities and Education",18310,42640,,
21,2090,Miscellaneous Religious Workers,8110,30650,,
21,2099,"Religious Workers, All Other",8110,30650,,
23,0,Legal Occupations,1023020,98570,,
23,1000,"Lawyers, Judges, and Related Workers",641020,126860,,
23,1010,Lawyers and Judicial Law Clerks,593120,129410,,
23,1011,Lawyers,581920,130880,,
23,1012,Judicial Law Clerks,11200,52610,,
23,1020,"Judges, Magistrates, and Other Judicial Workers",47900,95340,,
23,1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",14150,89970,,
23,1022,"Arbitrators, Mediators, and Conciliators",6520,77200,,
23,1023,"Judges, Magistrate Judges, and Magistrates",27220,102470,,
23,2000,Legal Support Workers,382000,51100,,
23,2010,Paralegals and Legal Assistants,267030,50220,,
23,2011,Paralegals and Legal Assistants,267030,50220,,
23,2090,Miscellaneous Legal Support Workers,114970,53150,,
23,2091,Court Reporters,18590,53010,,
23,2093,"Title Examiners, Abstractors, and Searchers",49390,46310,,
23,2099,"Legal Support Workers, All Other",47000,60390,,
25,0,"Education, Training, and Library Occupations",8374910,51210,,
25,1000,Postsecondary Teachers,1496810,73770,,
25,1010,"Business Teachers, Postsecondary",82460,85730,,
25,1011,"Business Teachers, Postsecondary",82460,85730,,
25,1020,"Math and Computer Teachers, Postsecondary",87880,75800,,
25,1021,"Computer Science Teachers, Postsecondary",34350,79870,,
25,1022,"Mathematical Science Teachers, Postsecondary",53530,73190,,
25,1030,"Engineering and Architecture Teachers, Postsecondary",41260,96330,,
25,1031,"Architecture Teachers, Postsecondary",7290,78770,,
25,1032,"Engineering Teachers, Postsecondary",33970,100100,,
25,1040,"Life Sciences Teachers, Postsecondary",63020,86350,,
25,1041,"Agricultural Sciences Teachers, Postsecondary",10500,83990,,
25,1042,"Biological Science Teachers, Postsecondary",50040,87060,,
25,1043,"Forestry and Conservation Science Teachers, Postsecondary",2490,82020,,
25,1050,"Physical Sciences Teachers, Postsecondary",50190,86130,,
25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",10930,91930,,
25,1052,"Chemistry Teachers, Postsecondary",20430,81460,,
25,1053,"Environmental Science Teachers, Postsecondary",4990,86080,,
25,1054,"Physics Teachers, Postsecondary",13840,88470,,
25,1060,"Social Sciences Teachers, Postsecondary",115380,79290,,
25,1061,"Anthropology and Archeology Teachers, Postsecondary",5690,82860,,
25,1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",9710,77690,,
25,1063,"Economics Teachers, Postsecondary",13390,97770,,
25,1064,"Geography Teachers, Postsecondary",4460,71890,,
25,1065,"Political Science Teachers, Postsecondary",16770,81860,,
25,1066,"Psychology Teachers, Postsecondary",38060,74240,,
25,1067,"Sociology Teachers, Postsecondary",16880,73080,,
25,1069,"Social Sciences Teachers, Postsecondary, All Other",10430,82570,,
25,1070,"Health Teachers, Postsecondary",208350,91810,,
25,1071,"Health Specialties Teachers, Postsecondary",152130,100370,,
25,1072,"Nursing Instructors and Teachers, Postsecondary",56220,68640,,
25,1080,"Education and Library Science Teachers, Postsecondary",67430,65380,,
25,1081,"Education Teachers, Postsecondary",62920,65000,,
25,1082,"Library Science Teachers, Postsecondary",4510,70770,,
25,1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",39090,85300,,
25,1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",14020,62770,,
25,1112,"Law Teachers, Postsecondary",15260,115550,,
25,1113,"Social Work Teachers, Postsecondary",9810,70430,,
25,1120,"Arts, Communications, and Humanities Teachers, Postsecondary",271550,70450,,
25,1121,"Art, Drama, and Music Teachers, Postsecondary",92570,73340,,
25,1122,"Communications Teachers, Postsecondary",30030,68540,,
25,1123,"English Language and Literature Teachers, Postsecondary",72680,67980,,
25,1124,"Foreign Language and Literature Teachers, Postsecondary",29810,66730,,
25,1125,"History Teachers, Postsecondary",23590,73090,,
25,1126,"Philosophy and Religion Teachers, Postsecondary",22880,71210,,
25,1190,Miscellaneous Postsecondary Teachers,470200,59110,,
25,1191,Graduate Teaching Assistants,120160,33030,,
25,1192,"Home Economics Teachers, Postsecondary",4700,68260,,
25,1193,"Recreation and Fitness Studies Teachers, Postsecondary",19410,64490,,
25,1194,"Vocational Education Teachers, Postsecondary",121550,52770,,
25,1199,"Postsecondary Teachers, All Other",204380,77500,,
25,2000,"Preschool, Primary, Secondary, and Special Education School Teachers",4033290,54550,,
25,2010,Preschool and Kindergarten Teachers,497720,37800,,
25,2011,"Preschool Teachers, Except Special Education",340350,30750,,
25,2012,"Kindergarten Teachers, Except Special Education",157370,53030,,
25,2020,Elementary and Middle School Teachers,1999790,56180,,
25,2021,"Elementary School Teachers, Except Special Education",1360380,56130,,
25,2022,"Middle School Teachers, Except Special and Career/Technical Education",620900,56280,,
25,2023,"Career/Technical Education Teachers, Middle School",18510,56270,,
25,2030,Secondary School Teachers,1047550,57710,,
25,2031,"Secondary School Teachers, Except Special and Career/Technical Education",959770,57770,,
25,2032,"Career/Technical Education Teachers, Secondary School",87780,57140,,
25,2050,Special Education Teachers,488230,58140,,
25,2051,"Special Education Teachers, Preschool",21770,57770,,
25,2052,"Special Education Teachers, Kindergarten and Elementary School",197740,56700,,
25,2053,"Special Education Teachers, Middle School",96380,59320,,
25,2054,"Special Education Teachers, Secondary School",133080,60090,,
25,2059,"Special Education Teachers, All Other",39260,56160,,
25,3000,Other Teachers and Instructors,1137130,37340,,
25,3010,Adult Basic and Secondary Education and Literacy Teachers and Instructors,66040,52130,,
25,3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,66040,52130,,
25,3020,Self,Enrichment Education Teachers,179650,40360,
25,3021,Self,Enrichment Education Teachers,179650,40360,
25,3090,Miscellaneous Teachers and Instructors,891450,35630,,
25,3098,Substitute Teachers,619700,29590,,
25,3099,"Teachers and Instructors, All Other, Except Substitute Teachers",271740,49430,,
25,4000,"Librarians, Curators, and Archivists",266950,47060,,
25,4010,"Archivists, Curators, and Museum Technicians",26440,49180,,
25,4011,Archivists,5640,50810,,
25,4012,Curators,10370,54600,,
25,4013,Museum Technicians and Conservators,10430,42920,,
25,4020,Librarians,140280,57190,,
25,4021,Librarians,140280,57190,,
25,4030,Library Technicians,100230,32320,,
25,4031,Library Technicians,100230,32320,,
25,9000,"Other Education, Training, and Library Occupations",1440720,30180,,
25,9010,Audio,Visual and Multimedia Collections Specialists,8690,45820,
25,9011,Audio,Visual and Multimedia Collections Specialists,8690,45820,
25,9020,Farm and Home Management Advisors,11060,48730,,
25,9021,Farm and Home Management Advisors,11060,48730,,
25,9030,Instructional Coordinators,133100,62420,,
25,9031,Instructional Coordinators,133100,62420,,
25,9040,Teacher Assistants,1185700,25310,,
25,9041,Teacher Assistants,1185700,25310,,
25,9090,"Miscellaneous Education, Training, and Library Workers",102180,41280,,
25,9099,"Education, Training, and Library Workers, All Other",102180,41280,,
27,0,"Arts, Design, Entertainment, Sports, and Media Occupations",1750130,54490,,
27,1000,Art and Design Workers,499620,49960,,
27,1010,Artists and Related Workers,84990,73870,,
27,1011,Art Directors,31570,94260,,
27,1012,Craft Artists,4810,35240,,
27,1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",12480,54000,,
27,1014,Multimedia Artists and Animators,29270,69560,,
27,1019,"Artists and Related Workers, All Other",6850,61680,,
27,1020,Designers,414630,45060,,
27,1021,Commercial and Industrial Designers,29030,62430,,
27,1022,Fashion Designers,16560,72620,,
27,1023,Floral Designers,47110,25550,,
27,1024,Graphic Designers,191440,48730,,
27,1025,Interior Designers,40750,52970,,
27,1026,Merchandise Displayers and Window Trimmers,73490,28860,,
27,1027,Set and Exhibit Designers,8680,54310,,
27,1029,"Designers, All Other",7560,51080,,
27,2000,"Entertainers and Performers, Sports and Related Workers",489840,56890,,
27,2010,"Actors, Producers, and Directors",157550,84520,,
27,2011,Actors,70540,*,,
27,2012,Producers and Directors,87010,92390,,
27,2020,"Athletes, Coaches, Umpires, and Related Workers",229830,38520,,
27,2021,Athletes and Sports Competitors,12450,75760,,
27,2022,Coaches and Scouts,201800,36680,,
27,2023,"Umpires, Referees, and Other Sports Officials",15570,32600,,
27,2030,Dancers and Choreographers,18790,41680,,
27,2031,Dancers,11390,*,,
27,2032,Choreographers,7400,44930,,
27,2040,"Musicians, Singers, and Related Workers",67050,*,,
27,2041,Music Directors and Composers,24940,53420,,
27,2042,Musicians and Singers,42100,*,,
27,2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",16630,*,,
27,2099,"Entertainers and Performers, Sports and Related Workers, All Other",16630,*,,
27,3000,Media and Communication Workers,551020,59180,,
27,3010,Announcers,39460,41490,,
27,3011,Radio and Television Announcers,31340,41860,,
27,3012,Public Address System and Other Announcers,8120,40070,,
27,3020,"News Analysts, Reporters and Correspondents",50740,48510,,
27,3021,Broadcast News Analysts,5170,78380,,
27,3022,Reporters and Correspondents,45570,45120,,
27,3030,Public Relations Specialists,201280,61980,,
27,3031,Public Relations Specialists,201280,61980,,
27,3040,Writers and Editors,187190,65130,,
27,3041,Editors,99040,62440,,
27,3042,Technical Writers,46160,67910,,
27,3043,Writers and Authors,41990,68420,,
27,3090,Miscellaneous Media and Communication Workers,72350,53150,,
27,3091,Interpreters and Translators,50320,53410,,
27,3099,"Media and Communication Workers, All Other",22030,52550,,
27,4000,Media and Communication Equipment Workers,209640,47350,,
27,4010,Broadcast and Sound Engineering Technicians and Radio Operators,101510,46690,,
27,4011,Audio and Video Equipment Technicians,54310,46040,,
27,4012,Broadcast Technicians,31640,44050,,
27,4013,Radio Operators,1280,43240,,
27,4014,Sound Engineering Technicians,14280,55340,,
27,4020,Photographers,56140,36330,,
27,4021,Photographers,56140,36330,,
27,4030,"Television, Video, and Motion Picture Camera Operators and Editors",37910,57540,,
27,4031,"Camera Operators, Television, Video, and Motion Picture",16410,49010,,
27,4032,Film and Video Editors,21500,64060,,
27,4090,Miscellaneous Media and Communication Equipment Workers,14090,68570,,
27,4099,"Media and Communication Equipment Workers, All Other",14090,68570,,
29,0,Healthcare Practitioners and Technical Occupations,7649930,73540,,
29,1000,Health Diagnosing and Treating Practitioners,4680350,91890,,
29,1010,Chiropractors,27740,79550,,
29,1011,Chiropractors,27740,79550,,
29,1020,Dentists,109570,166910,,
29,1021,"Dentists, General",93580,163240,,
29,1022,Oral and Maxillofacial Surgeons,4990,216440,,
29,1023,Orthodontists,5530,186320,,
29,1024,Prosthodontists,310,168120,,
29,1029,"Dentists, All Other Specialists",5150,164780,,
29,1030,Dietitians and Nutritionists,58240,56170,,
29,1031,Dietitians and Nutritionists,58240,56170,,
29,1040,Optometrists,29180,109810,,
29,1041,Optometrists,29180,109810,,
29,1050,Pharmacists,281560,114950,,
29,1051,Pharmacists,281560,114950,,
29,1060,Physicians and Surgeons,611650,190060,,
29,1061,Anesthesiologists,29930,232830,,
29,1062,Family and General Practitioners,110050,180850,,
29,1063,"Internists, General",45210,191520,,
29,1064,Obstetricians and Gynecologists,20880,216760,,
29,1065,"Pediatricians, General",30560,167640,,
29,1066,Psychiatrists,24210,177520,,
29,1067,Surgeons,42410,230540,,
29,1069,"Physicians and Surgeons, All Other",308410,184820,,
29,1070,Physician Assistants,83640,92460,,
29,1071,Physician Assistants,83640,92460,,
29,1080,Podiatrists,9090,132470,,
29,1081,Podiatrists,9090,132470,,
29,1120,Therapists,591350,71760,,
29,1122,Occupational Therapists,105540,76400,,
29,1123,Physical Therapists,191460,81110,,
29,1124,Radiation Therapists,18230,80410,,
29,1125,Recreational Therapists,19180,44280,,
29,1126,Respiratory Therapists,116960,57200,,
29,1127,Speech,Language Pathologists,121690,72730,
29,1128,Exercise Physiologists,5820,47610,,
29,1129,"Therapists, All Other",12480,56760,,
29,1130,Veterinarians,56020,93250,,
29,1131,Veterinarians,56020,93250,,
29,1140,Registered Nurses,2633980,67930,,
29,1141,Registered Nurses,2633980,67930,,
29,1150,Nurse Anesthetists,34180,154390,,
